model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
A1,2017,12500.0,Manual,15735.0,Petrol,150.0,55.4,1.4
A6,2016,16500.0,Automatic,36203.0,Diesel,100.01760765008835,64.2,2.0
A1,2016,11000.0,Manual,29946.0,Petrol,100.01760765008835,55.4,1.4
A4,2017,16800.0,Automatic,25952.0,Diesel,145.0,67.3,2.0
A3,2019,17300.0,Manual,1998.0,Petrol,145.0,49.6,1.0
A1,2016,13900.0,Automatic,32260.0,Petrol,100.01760765008835,58.9,1.4
A6,2016,13250.0,Automatic,76788.0,Diesel,100.01760765008835,61.4,2.0
A4,2016,11750.0,Manual,75185.0,Diesel,100.01760765008835,70.6,2.0
A3,2015,10200.0,Manual,46112.0,Petrol,100.01760765008835,60.1,1.4
A1,2016,12000.0,Manual,22451.0,Petrol,100.01760765008835,55.4,1.4
A3,2017,16100.0,Manual,28955.0,Petrol,145.0,58.9,1.4
A6,2016,16500.0,Automatic,52198.0,Diesel,125.0,57.6,2.0
Q3,2016,17000.0,Manual,44915.0,Diesel,145.0,52.3,2.0
A3,2017,16400.0,Manual,21695.0,Petrol,100.01760765008835,58.9,1.4
A6,2015,15400.0,Manual,47348.0,Diesel,100.01760765008835,61.4,2.0
A3,2017,14500.0,Automatic,26156.0,Petrol,145.0,58.9,1.4
Q3,2016,15700.0,Automatic,28396.0,Diesel,145.0,53.3,2.0
A3,2014,13900.0,Automatic,30516.0,Petrol,100.01760765008835,56.5,1.4
Q5,2016,19000.0,Automatic,37652.0,Diesel,181.10686659420105,47.1,2.0
Q3,2014,17000.0,Manual,34110.0,Petrol,145.0,47.9,1.4
A5,2017,17300.0,Automatic,37100.0,Diesel,145.0,67.3,2.0
Q5,2016,20200.0,Automatic,23714.0,Diesel,181.10686659420105,47.1,2.0
A5,2017,22500.0,Automatic,21649.0,Diesel,145.0,58.9,3.0
A6,2015,17500.0,Automatic,62748.0,Diesel,150.0,53.3,3.0
Q5,2016,20000.0,Automatic,23789.0,Diesel,181.10686659420105,47.1,2.0
A4,2017,18500.0,Automatic,17418.0,Diesel,145.0,62.8,2.0
A5,2017,19500.0,Automatic,33300.0,Diesel,145.0,61.4,2.0
A1,2018,15800.0,Manual,10793.0,Petrol,145.0,56.5,1.4
A4,2018,17200.0,Automatic,25138.0,Diesel,145.0,70.6,2.0
A6,2015,14000.0,Manual,61176.0,Diesel,100.01760765008835,62.8,2.0
A1,2015,9500.0,Automatic,54754.0,Diesel,100.01760765008835,76.3,1.6
Q3,2017,16500.0,Manual,21369.0,Petrol,125.0,51.4,1.4
Q3,2014,15000.0,Automatic,39190.0,Diesel,181.10686659420105,47.9,2.0
Q3,2017,16000.0,Automatic,47482.0,Petrol,150.0,47.9,1.4
Q3,2016,16900.0,Automatic,40501.0,Diesel,150.0,51.4,2.0
Q3,2014,12300.0,Automatic,43195.0,Diesel,181.10686659420105,47.9,2.0
A1,2017,10800.0,Manual,31447.0,Petrol,145.0,67.3,1.0
A6,2016,19400.0,Automatic,34030.0,Diesel,125.0,58.9,2.0
A4,2017,16000.0,Manual,29063.0,Diesel,145.0,70.6,2.0
A3,2017,17100.0,Manual,29545.0,Diesel,145.0,65.7,2.0
A3,2015,11300.0,Manual,75619.0,Diesel,100.01760765008835,68.9,2.0
Q3,2016,17200.0,Automatic,39603.0,Diesel,160.00000000000003,50.4,2.0
Q3,2017,20300.0,Automatic,42908.0,Diesel,145.0,51.4,2.0
A5,2014,13200.0,Automatic,81913.4209,Diesel,125.0,58.9,2.0
Q3,2016,15200.0,Automatic,58750.0,Petrol,145.0,47.9,1.4
A3,2019,15700.0,Manual,2029.0,Petrol,145.0,49.6,1.0
A6,2018,16600.0,Automatic,22958.0,Petrol,145.0,50.4,1.8
A4,2017,14400.0,Automatic,32097.0,Diesel,145.0,72.4,2.0
A5,2017,20200.0,Automatic,13057.0,Petrol,145.0,53.3,2.0
A4,2016,12750.0,Manual,52561.0,Diesel,100.01760765008835,74.3,2.0
A6,2015,13000.0,Automatic,31604.0,Diesel,100.01760765008835,67.3,2.0
Q3,2016,15900.0,Manual,32011.0,Petrol,145.0,49.6,1.4
Q3,2016,15000.0,Manual,39134.0,Diesel,100.01760765008835,60.1,2.0
Q5,2015,14700.0,Automatic,81913.4209,Diesel,181.10686659420105,47.1,2.0
A3,2015,15000.0,Automatic,56291.0,Petrol,181.10686659420105,42.8,1.8
A6,2016,16000.0,Automatic,47767.0,Diesel,100.01760765008835,61.4,2.0
A1,2014,11000.0,Manual,34315.0,Petrol,125.0,53.3,1.4
A3,2016,10200.0,Manual,66369.0,Diesel,100.01760765008835,83.1,1.6
A6,2016,18500.0,Manual,34110.0,Diesel,100.01760765008835,61.4,2.0
A1,2013,7000.0,Manual,76269.0,Diesel,100.01760765008835,74.3,1.6
A3,2016,10600.0,Manual,37840.0,Diesel,100.01760765008835,70.6,1.6
A3,2017,16000.0,Manual,26249.0,Diesel,100.01760765008835,67.3,1.6
Q3,2017,15000.0,Manual,44898.0,Diesel,125.0,57.7,2.0
Q3,2017,14000.0,Manual,67161.0,Petrol,150.0,51.4,1.4
A3,2018,18950.0,Manual,17992.0,Petrol,150.0,54.3,1.5
A4,2016,10200.0,Manual,81913.4209,Diesel,100.01760765008835,70.6,2.0
A1,2017,11700.0,Manual,19268.0,Petrol,150.0,67.3,1.0
A3,2013,11500.0,Automatic,51441.0,Petrol,125.0,50.4,1.8
A1,2016,10800.0,Manual,18181.0,Petrol,100.01760765008835,67.3,1.0
A3,2016,12500.0,Manual,19494.0,Diesel,100.01760765008835,67.3,2.0
A6,2016,16600.0,Manual,32808.0,Diesel,100.01760765008835,61.4,2.0
A3,2017,13100.0,Manual,25965.0,Diesel,145.0,65.7,2.0
A3,2016,8300.0,Manual,81913.4209,Diesel,100.01760765008835,68.9,2.0
A3,2019,16000.0,Manual,5704.0,Petrol,145.0,49.6,1.0
A4,2017,16900.0,Manual,10959.0,Petrol,145.0,51.4,1.4
Q5,2016,19600.0,Automatic,30201.0,Diesel,181.10686659420105,47.1,2.0
Q3,2017,21800.0,Automatic,19319.0,Petrol,145.0,40.4,2.0
A6,2017,16200.0,Manual,22582.0,Diesel,145.0,61.4,2.0
A5,2017,18700.0,Manual,20052.0,Petrol,145.0,49.6,2.0
Q3,2016,16100.0,Manual,16666.0,Diesel,100.01760765008835,60.1,2.0
A3,2016,11300.0,Manual,25626.0,Diesel,100.01760765008835,74.3,1.6
A3,2016,14100.0,Manual,10460.0,Petrol,100.01760765008835,60.1,1.4
A6,2016,16600.0,Automatic,43307.0,Diesel,125.0,57.6,2.0
A1,2017,11300.0,Manual,29327.0,Petrol,100.01760765008835,55.4,1.4
Q3,2017,15600.0,Manual,36714.0,Petrol,125.0,51.4,1.4
A1,2014,10000.0,Manual,28324.0,Petrol,125.0,53.3,1.4
A1,2016,14500.0,Manual,12100.0,Petrol,100.01760765008835,56.5,1.4
Q3,2017,16100.0,Manual,18001.0,Diesel,145.0,62.8,2.0
A1,2016,10600.0,Manual,28760.0,Petrol,100.01760765008835,55.4,1.4
A3,2019,25499.0,Semi-Auto,4000.0,Petrol,145.0,44.1,1.5
Q2,2019,25499.0,Semi-Auto,7897.0,Diesel,145.0,47.9,2.0
A6,2016,15500.0,Automatic,24744.0,Diesel,125.0,56.5,3.0
